,words
0,block
1,flockin
2,turn
3,back
4,wow
5,always
6,appeared
7,band
8,never
9,last
10,vodka
11,go
12,beginning
13,hunnid
14,housewife
15,20
16,pullin ’
17,call
18,skrrt
19,dropped
20,fourth
21,came
22,kitchen
23,40
24,dumbo
25,mary
26,cared
27,hit
28,know
29,yup
30,boy
31,shawty
32,bumpin
33,army
34,lonely
35,kid
36,like
37,750
38,yall
39,em
40,made
41,another
42,mutombo
43,feelin
44,counter
45,said
46,piss
47,yeah
48,winnin
49,see
50,inch
51,goin
52,dre
53,butt
54,pourin
55,fall
56,pocket
57,gwagen
58,lacroix
59,cause
60,little
61,talkin
62,got
63,forgivin
64,utah
65,show
66,it ’ s
67,house
68,hail
69,trunk
70,bottle
71,money
72,lot
73,grandmama
74,deep
75,sayin
76,lambo
77,stoney
78,get
79,roll
80,mouth
81,stripclub
82,big
83,moment
84,tired
85,say
86,punt
87,mmmm
88,wa
89,front
90,congratulation
91,bored
92,probably
93,mixing
94,used
95,ayy
96,snow
97,shit
98,toy
99,pull
100,lil ’
101,troy
102,everybody
103,really
104,catch
105,guap
106,none
107,prescott
108,touchdown
109,hey
110,decoy
111,grinnin ’
112,igloo
113,need
114,cut
115,roof
116,niptuck
117,everywhere
118,720s
119,blade
120,card
121,mille
122,away
123,time
124,want
125,ask
126,plat
127,harvey
128,sent
129,saw
130,got ta
131,cap
132,night
133,wan na
134,back
135,band
136,wall
137,top
138,last
139,graduated
140,go
141,woah
142,bring
143,youre
144,smokin
145,bitch
146,sticky
147,cant
148,wheezy
149,gettin
150,call
151,fendi
152,jason
153,til
154,broad
155,place
156,dc
157,opps
158,fit
159,nigga
160,ill
161,mean
162,beatles
163,home
164,outta
165,know
166,doesnt
167,brrt
168,oh
169,lonely
170,involved
171,like
172,could
173,thing
174,em
175,bad
176,wish
177,terry
178,strapped
179,anyway
180,drizzy
181,ive
182,hallway
183,said
184,yeah
185,see
186,diesel
187,goin
188,commando
189,lori
190,80
191,real
192,shade
193,magic
194,slap
195,fall
196,known
197,mall
198,dawg
199,head
200,philly
201,livin
202,girl
203,got
204,isnt
205,nothin
206,dont
207,show
208,every
209,move
210,legal
211,near
212,bunch
213,lil
214,uh
215,trust
216,murakami
217,lot
218,thats
219,left
220,ooh
221,amiris
222,backtoback
223,trap
224,list
225,true
226,lambo
227,get
228,name
229,dawgs
230,jeez
231,richard
232,big
233,salute
234,blow
235,rack
236,fish
237,broke
238,10piece
239,love
240,say
241,wa
242,bos
243,baddest
244,extended
245,playin
246,marlin
247,bein
248,rich
249,neighborhood
250,shit
251,fuckin
252,way
253,everybody
254,really
255,aint
256,christmas
257,ovo
258,grow
259,rambo
260,asked
261,put
262,corleone
263,scary
264,fact
265,runnin
266,story
267,cost
268,ball
269,lethal
270,clip
271,day
272,need
273,fuck
274,friendly
275,foreign
276,ah
277,empty
278,keep
279,still
280,actin
281,should ’ ve
282,mornin
283,want
284,got ta
285,sinning
286,undo
287,wan na
288,dododododododo
289,alone
290,never
291,go
292,woah
293,i ’ ll
294,pretending
295,excited
296,cant
297,ready
298,enough
299,ignited
300,clothes
301,getting
302,hit
303,told
304,know
305,switching
306,oh
307,taking
308,like
309,baby
310,afraid
311,bad
312,wish
313,can ’ t
314,undecided
315,said
316,yeah
317,weakness
318,ohohoh
319,i ’ m
320,look
321,spark
322,propose
323,think
324,often
325,cause
326,girl
327,indecisive
328,got
329,dont
330,position
331,shut
332,shouldn ’ t
333,ooh
334,get
335,don ’ t
336,good
337,addicted
338,dodododododododo
339,love
340,say
341,huh
342,probably
343,flying
344,pussy
345,ayy
346,shouldnt
347,way
348,feel
349,wife
350,tell
351,bed
352,hurt
353,weighing
354,listen
355,can not
356,wake
357,keep
358,still
359,sexual
360,deckname
361,zuckt
362,genau
363,treffpunkt
364,waiting
365,turn
366,sechse
367,liebe
368,meene
369,bechern
370,ick
371,brust
372,kleene
373,delicious
374,i ’ ll
375,losgestampft
376,bass
377,pitschenass
378,programmiert
379,decke
380,voll
381,heaven
382,trotz
383,klo
384,ill
385,sun
386,mitsubishi
387,blickkontakt
388,gleicht
389,west
390,geht
391,oh
392,thing
393,großer
394,schweben
395,takt
396,menge
397,pillen
398,püppi
399,schweiß
400,nacht
401,klatscht
402,post
403,dj
404,seele
405,ganze
406,farben
407,kurzer
408,berlin
409,eskaliert
410,janze
411,ganz
412,mal
413,feiern
414,bauchtasche
415,jeht
416,zappeln
417,warte
418,schmeckst
419,heiko
420,asservatenkammer
421,bi
422,abfahrt
423,grüne
424,fängt
425,party
426,fast
427,teller
428,jut
429,lachsrote
430,vorbei
431,morning
432,finchi
433,ner
434,hah
435,tesla
436,saal
437,hände
438,ekstase
439,one
440,german
441,earth
442,kiefer
443,murmel
444,druff
445,legen
446,tropft
447,sweet
448,wonderful
449,wirklich
450,mann
451,lichtenberg
452,ab
453,he ’ s
454,duft
455,letztes
456,hey
457,stoff
458,massive
459,east
460,drückt
461,zuckerschnute
462,tausend
463,–
464,mille
465,bow
466,sabbatjahr
467,louis
468,eheh
469,long
470,time
471,ringe
472,knopf
473,trink
474,überall
475,motherfucker
476,weapon
477,ice
478,dennis
479,back
480,flintstone
481,last
482,absturz
483,richie
484,nochmal
485,fühlst
486,germany
487,hast
488,lachstatar
489,dodi
490,heffernan
491,granted
492,milkshake
493,shindy
494,schon
495,3xl
496,makassar
497,gesagt
498,prinzessin
499,janis
500,mauer
501,spend
502,daddy ’ s
503,steht
504,nicole
505,schmutzwäsche
506,michael
507,clothes
508,zehn
509,power
510,teenager
511,v
512,heißt
513,vorm
514,tisch
515,without
516,eat
517,oh
518,bob
519,halb
520,like
521,thing
522,drive
523,could
524,wear
525,didnt
526,alfayed
527,jim
528,gebetet
529,somebody
530,said
531,yeah
532,thank
533,fallen
534,father
535,mercedes
536,cash
537,platinamex
538,große
539,joplin
540,brodelt
541,live
542,schmeiße
543,bill
544,seh ’ n
545,vpower
546,air
547,älter
548,steine
549,berlin
550,think
551,head
552,pharrell
553,mal
554,wanted
555,soul
556,blessing
557,kauf
558,pause
559,breathe
560,dont
561,hätte
562,junge
563,putzfrau
564,disney
565,money
566,uh
567,gate
568,vintage
569,walt
570,air ’
571,god
572,take
573,wär
574,ysl
575,doug
576,schutzweste
577,benz
578,gerüchteküche
579,much
580,cartier
581,früher
582,mashallah
583,gemacht
584,geld
585,jones
586,rosenthalgedeck
587,paintball
588,fast
589,neverland
590,gucci
591,people
592,lord
593,mäuse
594,tot
595,jesus
596,gemälde
597,shoutout
598,mamma
599,ballin
600,life
601,ey
602,brillibrille
603,uhh
604,gedacht
605,wäscht
606,ner
607,food
608,schwimmt
609,window
610,michi
611,wa
612,crashtestdummy
613,heute
614,sterbe
615,bling
616,fanta
617,dapper
618,seid
619,rich
620,friend
621,word
622,paypal
623,kinder
624,gathering
625,bleib
626,phelps
627,forever
628,bros
629,burberrytennissocken
630,car
631,ende
632,king
633,daddy
634,paris
635,mach
636,matter
637,interessant
638,walk
639,spoken
640,tryin ’
641,dan
642,rodman
643,bring ’
644,4
645,need
646,hm
647,drip
648,ah
649,–
650,loneliness
651,away
652,saw
653,giant
654,boulder
655,shake
656,hide
657,taught
658,enough
659,togetherness
660,without
661,breaking
662,oh
663,nothing
664,throw
665,guard
666,yeah
667,table
668,see
669,holding
670,knew
671,would
672,pill
673,cause
674,underneath
675,dont
676,freedom
677,heyoh
678,strong
679,ooh
680,notion
681,emotion
682,unrequited
683,living
684,love
685,wa
686,understood
687,foot
688,gon na
689,something
690,u
691,way
692,feed
693,tell
694,stand
695,shoulder
696,well
697,dirt
698,bumbum
699,try
700,want
701,enemy
702,make
703,alone
704,heard
705,mhmhm
706,dance
707,cant
708,phone
709,ohh
710,crown
711,testin
712,candy
713,aight
714,know
715,oh
716,gon
717,hold
718,like
719,learnin
720,bad
721,mhm
722,another
723,yeah
724,movin
725,see
726,heat
727,tonight
728,club
729,beat
730,unitin
731,dedededede
732,real
733,look
734,nice
735,think
736,wooh
737,head
738,cause
739,girl
740,got
741,hugel
742,nothin
743,show
744,house
745,karma
746,sure
747,take
748,wakin
749,eye
750,get
751,banger
752,posin
753,morning
754,lookin
755,obsessed
756,love
757,playin
758,gon na
759,sweet
760,hiphop
761,ayy
762,way
763,aint
764,watchin
765,youll
766,promise
767,cool
768,compete
769,story
770,bada
771,drama
772,huhh
773,fuck
774,keep
775,thinking
776,control
777,know
778,boy
779,bout
780,dancing
781,thing
782,mind
783,baby
784,mhm
785,take
786,wan na
787,made
788,alone
789,somebody
790,ooh
791,fire
792,yeah
793,new
794,even
795,get
796,tonight
797,stranger
798,dont
799,going
800,pretty
801,look
802,hmm
803,need
804,light
805,cause
806,exactly
807,clear
808,still
809,wasnt
810,want
811,price
812,find
813,wan na
814,alone
815,never
816,top
817,hide
818,lose
819,babe
820,woah
821,bring
822,youre
823,going
824,cant
825,took
826,ill
827,sight
828,home
829,ohoh
830,oh
831,could
832,thing
833,baby
834,right
835,sex
836,ive
837,said
838,yeah
839,keeping
840,heart
841,safe
842,light
843,keepin
844,cause
845,girl
846,got
847,might
848,lot
849,take
850,year
851,ooh
852,straight
853,oohoohooh
854,roll
855,phase
856,tired
857,one
858,face
859,stay
860,used
861,friend
862,slow
863,fire
864,put
865,dice
866,hey
867,hide—
868,ride
869,day
870,well
871,fuck
872,lost
873,right—
874,type
875,working
876,rubber
877,worse
878,got ta
879,night
880,wan na
881,swishers
882,make
883,rather
884,gray
885,band
886,never
887,throat
888,guess
889,lose
890,theyll
891,dream
892,learn
893,job
894,fix
895,home
896,wishing
897,know
898,doesnt
899,around
900,rolling
901,like
902,thing
903,drive
904,em
905,right
906,wrapped
907,feud
908,see
909,late
910,nowhere
911,club
912,light
913,bathroom
914,confused
915,cause
916,got
917,dont
918,burn
919,hate
920,dirty
921,thats
922,parent
923,let
924,plan
925,cigarillo
926,side
927,certain
928,love
929,blueberry
930,say
931,youve
932,stay
933,ocbs
934,family
935,saturday
936,care
937,silverado
938,shit
939,makeup
940,knowing
941,daddy
942,youll
943,mom
944,id
945,hurt
946,gone
947,keep
948,card
949,breakfast
950,addiction
951,sing
952,savage
953,want
954,mr
955,price
956,matching
957,turn
958,make
959,brag
960,rather
961,back
962,therapy
963,never
964,pay
965,set
966,go
967,store
968,wrist
969,stop
970,number
971,bitch
972,cant
973,seen
974,phone
975,enough
976,call
977,crib
978,yep
979,gee
980,bag
981,mean
982,getting
983,shoot
984,jet
985,diamond
986,know
987,string
988,neck
989,beamin
990,gon
991,oh
992,nothing
993,like
994,thing
995,em
996,baby
997,bad
998,loot
999,budget
1000,check
1001,said
1002,respect
1003,tone
1004,yeah
1005,buy
1006,see
1007,retail
1008,business
1009,wrong
1010,sad
1011,bubble
1012,flossy
1013,itd
1014,look
1015,wearing
1016,think
1017,whoever
1018,gleamin
1019,girl
1020,got
1021,booth
1022,trouble
1023,dont
1024,bottle
1025,money
1026,thats
1027,nah
1028,loop
1029,juice
1030,atm
1031,new
1032,get
1033,smile
1034,problem
1035,tiffany
1036,big
1037,redbottoms
1038,tied
1039,must
1040,thought
1041,rack
1042,lookin
1043,poppin
1044,skin
1045,spoil
1046,receipt
1047,bought
1048,say
1049,one
1050,youve
1051,closet
1052,shine
1053,happiness
1054,solve
1055,settin
1056,six
1057,gim me
1058,thanks
1059,friend
1060,rich
1061,mind
1062,shit
1063,woulda
1064,way
1065,gloss
1066,aint
1067,watchin
1068,favorite
1069,write
1070,stacked
1071,put
1072,hair
1073,black
1074,machine
1075,id
1076,deposit
1077,ring
1078,lash
1079,tattoo
1080,net
1081,sing
1082,softly
1083,time
1084,want
1085,away
1086,night
1087,wan na
1088,never
1089,resides
1090,hide
1091,taught
1092,call
1093,lesson
1094,ill
1095,power
1096,looked
1097,rush
1098,decide
1099,know
1100,around
1101,oh
1102,hold
1103,like
1104,darkness
1105,see
1106,beat
1107,heart
1108,everything
1109,cause
1110,got
1111,hate
1112,take
1113,thats
1114,eye
1115,let
1116,remember
1117,devil
1118,dark
1119,forget
1120,moonlight
1121,ever
1122,woo
1123,shivered
1124,love
1125,one
1126,wa
1127,breath
1128,youve
1129,gon na
1130,mind
1131,king
1132,shone
1133,doubt
1134,tell
1135,lake
1136,outrunning
1137,story
1138,day
1139,well
1140,need
1141,dear
1142,try
1143,different
1144,bout
1145,melody
1146,takin
1147,wan na
1148,back
1149,make
1150,never
1151,lit
1152,seen
1153,goosebump
1154,gettin
1155,fun
1156,bag
1157,nigga
1158,single
1159,chain
1160,hit
1161,diamond
1162,know
1163,throwin
1164,oh
1165,admit
1166,walkin
1167,right
1168,made
1169,dadaumda
1170,another
1171,said
1172,vibe
1173,yeah
1174,wrong
1175,everything
1176,look
1177,think
1178,hoodie
1179,cause
1180,girl
1181,talkin
1182,got
1183,dont
1184,every
1185,low
1186,lick
1187,money
1188,dadadaumda
1189,stash
1190,lot
1191,benz
1192,somethin
1193,dadada
1194,apology
1195,true
1196,new
1197,get
1198,let
1199,guy
1200,good
1201,dada
1202,ever
1203,promotin
1204,rack
1205,life
1206,gassin
1207,love
1208,hard
1209,stay
1210,friend
1211,rich
1212,drrrat
1213,something
1214,shit
1215,fly
1216,way
1217,really
1218,everybody
1219,aint
1220,split
1221,feel
1222,tell
1223,focused
1224,notice
1225,ring
1226,plot
1227,type
1228,can not
1229,speak
1230,home
1231,trying
1232,sound
1233,around
1234,oh
1235,lonely
1236,hold
1237,taking
1238,like
1239,night
1240,hate
1241,take
1242,wan na
1243,make
1244,somebody
1245,strong
1246,leave
1247,back
1248,everybody
1249,alone
1250,song
1251,yeah
1252,go
1253,unmiss
1254,woah
1255,stranger
1256,party
1257,youre
1258,cant
1259,best
1260,anything
1261,killing
1262,think
1263,need
1264,buzzcut
1265,shot
1266,hurt
1267,lost
1268,falling
1269,someone
1270,cause
1271,tired
1272,love
1273,heaven
1274,season
1275,still
1276,meet
1277,dont
1278,wantin
1279,rap
1280,palm
1281,greatest
1282,long
1283,savage
1284,different
1285,ground
1286,bout
1287,hurting
1288,death
1289,liable
1290,sit
1291,squad
1292,got ta
1293,cup
1294,clout
1295,back
1296,loadin
1297,make
1298,never
1299,hand
1300,inside
1301,sister
1302,checkin
1303,sip
1304,set
1305,go
1306,gettin ’
1307,wrist
1308,coming
1309,selfimage
1310,lit
1311,bro
1312,twice
1313,reminded
1314,style
1315,destined
1316,promo
1317,cant
1318,spending
1319,gettin
1320,young
1321,thankin
1322,gift
1323,came
1324,bag
1325,ville
1326,intention
1327,nigga
1328,hit
1329,generation
1330,know
1331,neck
1332,dyin
1333,gon
1334,cycle
1335,copied
1336,studied
1337,like
1338,slid
1339,heal
1340,em
1341,right
1342,jigga
1343,lunch
1344,raised
1345,baby
1346,coexist
1347,wish
1348,glad
1349,made
1350,legend
1351,noise
1352,drizzy
1353,ive
1354,change
1355,act
1356,bread
1357,give
1358,cell
1359,prevail
1360,kodak
1361,sellin
1362,i ’ m
1363,latest
1364,real
1365,pill
1366,everything
1367,slap
1368,legit
1369,fame
1370,killing
1371,first
1372,pavin
1373,cause
1374,fakin
1375,little
1376,got
1377,pistol
1378,middle
1379,bentley
1380,bullet
1381,beef
1382,great
1383,two
1384,nothin
1385,lane
1386,dont
1387,guidance
1388,every
1389,trauma
1390,lab
1391,distorted
1392,mama
1393,might
1394,project
1395,lil
1396,money
1397,brother
1398,bloodline
1399,sure
1400,writin
1401,dirty
1402,take
1403,blunt
1404,loadin ’
1405,game
1406,left
1407,thats
1408,year
1409,somethin
1410,ima
1411,’ em
1412,scrape
1413,pain
1414,straight
1415,list
1416,hope
1417,grows
1418,get
1419,prayin
1420,sell
1421,choice
1422,name
1423,roll
1424,rollie
1425,voice
1426,good
1427,ogs
1428,powder
1429,many
1430,lord
1431,big
1432,fail
1433,fake
1434,dick
1435,tminus
1436,next
1437,poppin
1438,lettin
1439,broke
1440,ain ’ t
1441,smoke
1442,love
1443,hard
1444,one
1445,wa
1446,snort
1447,poured
1448,foot
1449,class
1450,chip
1451,wont
1452,poisoned
1453,mil
1454,dead
1455,balance
1456,sneaker
1457,rich
1458,birthday
1459,shit
1460,21
1461,makin
1462,rapper
1463,lebron
1464,aint
1465,watchin
1466,countin
1467,feel
1468,put
1469,mission
1470,promise
1471,trip
1472,watch
1473,honest
1474,dollar
1475,quit
1476,clip
1477,id
