,words
0,fahren
1,aufm
2,ruah
3,motherfucker
4,merk
5,paar
6,200
7,laufen
8,sammel
9,pedal
10,bezahlt
11,trag
12,zehn
13,arsch
14,besser
15,millionär
16,anklagen
17,nacht
18,seim
19,kleine
20,wohnt
21,187
22,mehr
23,wahr
24,hintern
25,einsacht
26,20000
27,blah
28,sport
29,kauf
30,wieg
31,geschäfte
32,liegen
33,grab
34,nikeanzug
35,taschen
36,wär
37,schweiss
38,tacho
39,siehst
40,kohle
41,zwei
42,endlos
43,obst
44,nein
45,ganzes
46,stress
47,gelato
48,handys
49,gefällt
50,zeig
51,fliegen
52,ausladende
53,ab
54,polizei
55,präsenz
56,worauf
57,macker
58,eindrücke
59,bleibst
60,patte
61,stehlen
62,deinn
63,guck
64,rolex
65,komm
66,fracht
67,rappe
68,breitreifen
69,aussagen
70,stehst
71,zeit
72,’nem
73,sicher
74,weiber
75,grosse
76,perfekt
77,jed
78,bandagen
79,hahaha
80,schnell
81,runden
82,air
83,rufen
84,akte
85,frische
86,schlampe
87,kundenstamm
88,geh
89,kindheitstraum
90,wohnung
91,raus
92,faule
93,max
94,müssen
95,meinn
96,hängen
97,yacht
98,geld
99,160
100,eltern
101,kommen
102,tot
103,lange
104,dick
105,schlaf
106,600wattlampen
107,wolln
108,fleischstücke
109,bande
110,weisst
111,anzapfen
112,sneaker
113,zahl
114,haifischnikes
115,pokerabend
116,goldketten
117,mofa
118,maxwell
119,bahn
120,risiko
121,zivilverfahrn
122,nike
123,trage
124,tausend
125,lachen
126,rap
127,hanfpflanzen
128,encros
129,sekunden
130,vorbeifahrn
131,nikes
132,toyota
133,denk
134,zuhause
135,lande
136,wer
137,felge
138,tannenzapfen
139,sucuk
140,voll
141,schlampen
142,haifisch
143,heftigsten
144,erkennst
145,klärn
146,makarow
147,fahr’n
148,beid
149,ganze
150,rein
151,tür
152,blei
153,zivilfahnder
154,erkennt
155,sound
156,eingeschweisst
157,brandneuen
158,ruf
159,schreiben
160,lieben
161,gibt’s
162,batzen
163,vorbei
164,karacho
165,ey
166,hundertpro
167,ja
168,schiefe
169,kokanasen
170,klar
171,deutscher
172,daimlerbenz
173,fotos
174,gottverdammte
175,gebracht
176,verteil’n
177,hosentaschen
178,meim
179,jemand
180,hundert
181,aufs
182,heh
183,wisch
184,’ne
185,denkst
186,reindrücke
187,zwanzig
188,schon
189,haha
190,normal
191,zimmer
192,immer
193,sieben
194,mutterficken
195,digga
196,international
197,besaufen
198,reich
199,hör
200,abgewickelt
201,vollgold
202,eimsbüttel
203,exakt
204,komm’
205,bonez
206,steindamm
207,barzen
208,tanzen
209,mal
210,park
211,beim
212,hochglanz
213,johnnys
214,benz
215,goldplatten
216,dreck
217,hau
218,einfahrt
219,charts
220,älteren
221,kicke
222,rauch
223,koka
224,warten
225,woo
226,stars
227,wrmm
228,bescheid
229,ecke
230,hah
231,star
232,tages
233,haifischen
234,alter
235,anpflanzen
236,gramm
237,groupies
238,genauso
239,pfanne
240,bühne
241,hamburgwest
242,tns
243,geklärt
244,bringn
245,überall
246,geben
247,regenbogen
248,hast
249,komm
250,schon
251,normal
252,wer
253,welt
254,brötchen
255,niemandem
256,immer
257,hause
258,gehn
259,sehn
260,egal
261,einn
262,stückchen
263,erstrahln
264,bemaln
265,bringen
266,sehen
267,träume
268,ganz
269,schmiert
270,dreh
271,tragen
272,müssen
273,übern
274,kita
275,erreichen
276,tellerrand
277,zeigen
278,eltern
279,regenbogenfarben
280,zwei
281,singn
282,wolln
283,schwarzweiss
284,gesehn
285,gleichen
286,spiel
287,bunt
288,regenbogenfahnen
289,kind
290,kinder
291,luftgitarre
292,dürfen
293,leis
294,ring
295,lass
296,gefühle
297,ekho
298,fair
299,chayas
300,stoned
301,beine
302,wieso
303,capo
304,geben
305,sitz
306,scheisse
307,werd
308,breit
309,bitch
310,komm
311,scherz
312,schmeiss
313,leben
314,wer
315,skrrt
316,sorg
317,letzten
318,tag
319,anfang
320,zeit
321,hit
322,sand
323,beautyface
324,ohoh
325,niveau
326,oh
327,obs
328,reich
329,heiss
330,sex
331,leid
332,gerad
333,frag
334,hör
335,kinderleicht
336,sterb
337,jed
338,marsimoto
339,einfach
340,mehr
341,wohoo
342,unsre
343,rüber
344,blowt
345,mal
346,scheine
347,pilot
348,dreh
349,nie
350,telefonverbot
351,legendär
352,spür
353,fick
354,geehrt
355,aah
356,neuer
357,fragen
358,hinterher
359,ganzen
360,meinn
361,dasn
362,weeissen
363,taschen
364,schossen
365,begehrt
366,cockpit
367,ruf
368,obwohl
369,schw
370,nächste
371,sitzen
372,reichen
373,yayo
374,meer
375,kommen
376,trikot
377,nein
378,azzlacks
379,ey
380,uhh
381,hauptsache
382,bescheid
383,hah
384,ja
385,langsam
386,schneit
387,team
388,lee
389,gleiches
390,wert
391,storys
392,schicke
393,fühlen
394,k¡k¡
395,frauen
396,silikon
397,fotos
398,bigbooty
399,kreis
400,dafür
401,scheiss
402,tun
403,ah
404,neid
405,scheid
406,nash
407,zeihen
408,krieg
409,packen
410,aufm
411,koks
412,genau
413,anzugen
414,liebst
415,range
416,daytona
417,unsrer
418,moneyteam
419,wieso
420,erwarte
421,kalaschnika
422,kmn
423,nehmn
424,verteiln
425,hast
426,laufen
427,schassen
428,bitch
429,beifahrer
430,mayweather
431,ap
432,leben
433,normal
434,gesagt
435,kriminell
436,kilo
437,mp
438,rover
439,skrupel
440,respekt
441,jungs
442,unterwegs
443,ghettogs
444,handel
445,fickst
446,bordstein
447,zehn
448,sieben
449,scharf
450,hinten
451,affekt
452,taten
453,international
454,digital
455,haft
456,gehn
457,gossen
458,ahh
459,crack
460,lucry
461,yeah
462,jed
463,brra
464,kapitän
465,jaja
466,stolz
467,rein
468,pass
469,bringen
470,brrr
471,illegal
472,bae
473,ganz
474,mal
475,neuf
476,drecksgame
477,ehre
478,skimaske
479,dresscode
480,ballermann
481,sechs
482,woher
483,mama
484,mele7
485,innenstadt
486,fragen
487,nachts
488,minimal
489,uhren
490,uhaft
491,weeissen
492,kippe
493,dopechef
494,benz
495,wegballern
496,knast
497,gameover
498,rauszukommn
499,lambo
500,parat
501,azet
502,geld
503,aks
504,ballert
505,aufgewachsen
506,heuen
507,pieceunternehmn
508,yayo
509,kommen
510,citygangs
511,neue
512,batzen
513,jahre
514,verkauf
515,ey
516,waage
517,drauf
518,blut
519,ja
520,sofort
521,neues
522,keinn
523,stempel
524,gang
525,choya
526,geplant
527,spielen
528,mustafa
529,feinde
530,fussraum
531,ab
532,kugeln
533,zähln
534,gehts
535,millimètres
536,nike
537,minivan
538,lass
539,schlafen
540,lachen
541,gucken
542,ticken
543,salt
544,chancen
545,fahren
546,cabriolets
547,genau
548,unnötig
549,amg
550,mainhattan
551,sag
552,main
553,falln
554,schlacht
555,weit
556,schmuck
557,tausende
558,schon
559,leben
560,bruder
561,diablo
562,gefickt
563,sachen
564,million
565,kenn
566,allinpoker
567,immer
568,flous
569,montana
570,vice
571,gut
572,mainhattancitygangs
573,regen
574,rechtzeitig
575,ahh
576,nacht
577,egal
578,piss
579,yeah
580,einn
581,hall
582,jed
583,wolken
584,köpfen
585,mercedes
586,woran
587,club
588,ganze
589,wahr
590,fame
591,cocaine
592,bringen
593,mal
594,privatjet
595,belebt
596,mache
597,beim
598,händen
599,tief
600,liegen
601,jajaja
602,mama
603,fahrn
604,world
605,money
606,flaschen
607,erleben
608,frankfurt
609,80erfilm
610,cartier
611,antonio
612,lambo
613,zehntausend
614,überleben
615,party
616,roll
617,ahhahahah
618,traffic
619,vielleicht
620,bekam
621,kommen
622,verspielst
623,adieu
624,gt
625,ey
626,ner
627,blut
628,habibi
629,milanos
630,goldschmuck
631,scarface
632,stress
633,letzte
634,autokino
635,öfter
636,film
637,wua
638,wert
639,schüsse
640,kind
641,fliegen
642,beach
643,saufen
644,beyda
645,sosa
646,stadt
647,höhenflug
