,words
0,yallah
1,fährt
2,hochzeit
3,runde
4,pummlige
5,bleib
6,disco
7,fick
8,sex
9,führ
10,trink
11,bus
12,habn
13,komm
14,geht
15,menowin
16,onlinefriends
17,cops
18,bitches
19,zeigt
20,ja
21,brust
22,puff
23,mal
24,sagst
25,gepumpt
26,häng
27,nah
28,ex
29,grund
30,vertraun
31,frag
32,schluck
33,ganze
34,cash
35,echt
36,verliere
37,folge
38,nehmn
39,kaum
40,hajde
41,instagram
42,lust
43,gewicht
44,seh
45,gesuckt
46,heute
47,schwanz
48,hinaus
49,birra
50,herum
51,verlässt
52,deinn
53,box
54,refugees
55,kokain
56,vielleicht
57,club
58,hast
59,steifen
60,baby
61,verdrehst
62,glitzersteinn
63,fass
64,spitzen
65,rufst
66,nie
67,nacht
68,haun
69,einn
70,freund
71,bar
72,emory
73,nummer
74,tanz
75,kickboxfighter
76,denkt
77,krieg
78,geschmückten
79,vip
80,danct
81,bosstrafo
82,sehn
83,schwuchtel
84,lowcarbdiät
85,breit
86,augen
87,türsteher
88,flex
89,fickbereiten
90,mehr
91,yeah
92,weibern
93,nein
94,minikleidern
95,gib
96,onenightstand
97,eingang
98,paar
99,muskeln
100,spotlight
101,vipbereich
102,zwei
103,schubst
104,kommen
105,geh
106,patte
107,flasche
108,cohiba
109,roll
110,jaja
111,hotelzimmer
112,schwertfisch
113,immer
114,komm
115,artillerie
116,kanaks
117,high
118,ja
119,pumpt
120,gekippt
121,meim
122,pasa
123,egal
124,fairness
125,sagen
126,bring
127,killer
128,schieben
129,na
130,james
131,uh
132,gar
133,rocken
134,vay
135,fuego
136,auge
137,leb
138,drauf
139,überfall
140,bestehn
141,knolln
142,pradabandana
143,zähln
144,blunt
145,totò
146,¡hola
147,blut
148,mische
149,venn
150,day
151,fraun
152,mathematik
153,fam
154,cubana
155,nase
156,ah
157,airwaves
158,adrenalin
159,ey
160,bonita
161,danach
162,problem
163,mach
164,boss
165,gras
166,mann
167,simple
168,dominos
169,nimm
170,fresh
171,bombay
172,dope
173,digga
174,kippe
175,verzichte
176,zusteht
177,hälfte
178,gelaunt
179,lebron
180,drogenmissbrauch
181,glas
182,wer
183,gift
184,haze
185,verdienn
186,riina
187,ballen
188,eins
189,steht
190,247
191,powpowpow
192,bro
193,ohh
194,bleibt
195,falln
196,gib
197,schon
198,oj
199,beherrsch
200,jajajaja
201,dicka
202,bademantel
203,carlos
204,ego
205,filme
206,gin
207,schüsse
208,santana
209,voraus
210,fair
211,grab
212,würd
213,geld
214,gut
215,einfach
216,leichter
217,bleibe
218,gibt
219,leute
220,krass
221,auszutricksen
222,scheiß
223,spricht
224,immer
225,junge
226,verstehn
227,tausend
228,mic
229,begreifen
230,schließ
231,arm
232,könnn
233,ja
234,gingst
235,liebe
236,sterben
237,mal
238,bühne
239,runden
240,zeit
241,sagst
242,erzähle
243,entzwei
244,heut
245,würdst
246,stunden
247,weils
248,sprache
249,worte
250,echt
251,macht
252,außer
253,lachst
254,fang
255,wiedersehn
256,bloß
257,stimme
258,geben
259,mitternacht
260,weder
261,damals
262,sage
263,besorg
264,weit
265,wollten
266,blut
267,beschreiben
268,scheint
269,einsam
270,falls
271,glaube
272,geglaubt
273,stattdessen
274,klingt
275,leise
276,verrückt
277,genug
278,vielleicht
279,mann
280,traum
281,paraphiere
282,gelungn
283,wieso
284,genau
285,blamieren
286,himmel
287,kacke
288,wanna
289,schonmal
290,nochmal
291,sprech
292,zähl
293,schreib
294,sitz
295,werd
296,fort
297,trinken
298,versprochen
299,jamal
300,nie
301,dreh
302,plattenbau
303,fühlen
304,manchmal
305,go
306,morgen
307,haun
308,brach
309,gründe
310,gehen
311,gleiche
312,gehts
313,fragen
314,nen
315,schreiben
316,dafür
317,grade
318,jung
319,sehn
320,texte
321,stundenlang
322,song
323,heimlich
324,hörn
325,ghettos
326,tod
327,tage
328,spaß
329,hätte
330,krasser
331,augen
332,früh
333,platz
334,gottverdammt
335,mehr
336,party
337,keinn
338,erzähln
339,schnell
340,oben
341,leider
342,glaubst
343,nehmen
344,tränen
345,yeah
346,red
347,ganz
348,frage
349,sekunde
350,bleibt
351,vergangn
352,gegangn
353,schon
354,beste
355,vorgegangn
356,brief
357,hoff
358,vermisse
359,gute
360,herz
361,davon
362,stehn
363,fühlt
364,letztes
365,weiß
366,hell
367,besten
368,intressiert
369,würd
370,geld
371,stress
372,viano
373,goldne
374,philipp
375,bleib
376,beef
377,fick
378,falsches
379,immer
380,brrr
381,gang
382,lacoste
383,liebst
384,meim
385,vollbepackt
386,häufig
387,drücken
388,kaun
389,sommer
390,pilot
391,mittags
392,ticken
393,groß
394,richter
395,heut
396,benz
397,fast
398,full
399,gewohnt
400,leben
401,wurd
402,ab
403,kopf
404,tragen
405,unterwegs
406,leb
407,drauf
408,gemacht
409,läuft
410,macht
411,landeskriminalamt
412,brot
413,hahaha
414,sippi
415,wurden
416,stelle
417,damals
418,castellano
419,sage
420,zeug
421,loyal
422,baller
423,schwanz
424,klickbam
425,normal
426,winter
427,neun
428,kontakte
429,plein
430,verliehn
431,problem
432,deinn
433,mach
434,zelle
435,acht
436,zeiten
437,kilos
438,gras
439,gestern
440,wau
441,jahr
442,hält
443,wach
444,viele
445,jeans
446,hast
447,wort
448,city
449,träume
450,dresden
451,zeugen
452,drehen
453,tick
454,taschen
455,life
456,schlafen
457,wer
458,kmn
459,¡aló
460,welle
461,pack
462,aboom
463,kannst
464,kalash
465,sehn
466,vernehmn
467,hörn
468,tod
469,azet
470,neunmilli
471,vertrau
472,erzähln
473,bitte
474,leuten
475,willst
476,ganz
477,bambam
478,gedreht
479,narcos
480,drohn
481,reich
482,straße
483,dinger
484,pow
485,sag
486,rufen
487,kommen
488,wald
489,polizeigriff
490,buffons
491,geh
492,geld
493,player
494,bewaffneter
495,cristal
496,sechs
497,fick
498,maskuliner
499,hartes
500,drüber
501,scheiß
502,leihwagen
503,mille
504,horde
505,junge
506,komm
507,siehst
508,mic
509,equipment
510,bitches
511,erfunden
512,lieber
513,pissen
514,barem
515,atemweg
516,mütter
517,zahl
518,überleben
519,aborigines
520,hater
521,heut
522,easy
523,bitch
524,modedeal
525,amgpaket
526,lamborghini
527,hala
528,niemals
529,leben
530,espresso
531,farid
532,verbluten
533,amg
534,dreht
535,leb
536,ums
537,misswahln
538,hari
539,63
540,erstmal
541,alice
542,ging
543,schwarzer
544,macht
545,zähln
